Category,Description,Price,Notes,Link,,,,
,,,,,,,,
These parts are chosen with the intent to also run this machine as a thrusting style F machine.  There are significantly less expensive options available. ,,,,,,,,
,,,,,,,,
,,,,,,,,
Motor,,,,,,,,
Pick one,100w 4Nm 220 RPM brushed DC,$85 ,"This is a great price on a seriously strong motor that comes with an encoder. It can mount on the face, the front or the top with M6 screw. This is not a retail, end user motor. The box will contain the motor and literally nothing else.",https://smile.amazon.com/gp/product/B09MLZ8W6M/,,,,
,80w 4Nm 160RPM brushed DC - Uxcell,$80 ,This is a more recognizable brand and more popular in the DIY community. It has less power and lower RPMs than the one above for about the same price.,https://smile.amazon.com/gp/product/B0732FFSGS/,,,,
,,,,,,,,
Speed Control,,,,,,,,
Pick one,DC Motor Speed Controller Pwm 150W Adjustable Speed Regulator,$10 ,There are many options as low as $2. This one has a 3 digit LCD screen to see the duty cycle.,https://smile.amazon.com/tatoko-Controller-Adjustable-Regulator-Generator/dp/B0881K3PZ6/,,,,
,XY5008 DC DC Buck Converter CC CV 0-50V 8A 400W with IR remote,$18 ,A large LCD screen and the ability to have constant current make this an ideal choice. 8A is more than enough power - I've never exceeded 3A while running the milker.  For an additional $7 you get wifi.,https://www.aliexpress.com/item/1005003272036569.html,,,,
,,,,,,,,
Transmission,"Compared to belts, the rocker arm is simple, inexpensive and last years with no maintenance. ",,,,,,,
,"Kit - Rocker arm to match the motor's 10mm shaft. It has adjustable stroke length, rod and ball joints.",$15 ,"The rocker arm, as well as threaded rod and ball joints is arouind $15 on Alibaba. While the 150mm stroke is the most common, they go up to 300mm",,,,,
,,,,,,,,
AC / DC Power supply ,,,,,,,,
,"24V 8.5A 200W, DC Universal Regulated Switching Power Supply",$20 ,More than enough power for a milker.,https://smile.amazon.com/inShareplus-Universal-Regulated-Switching-Transformer/dp/B07RHJ54B2/,,,,
,ON/OFF Switch Socket For Power Supply With Fuse,$3 ,Prewired with switch and fuse. ,https://www.aliexpress.com/item/4000194036059.html,,,,
,"Universal Power Cord, C13, 18 AWG, Black, 6 Feet",$6 ,You probably have one of these lying around. Don't go with anything above 18g,https://smile.amazon.com/C2G-03130-Universal-Power-Cord/dp/B0000510ZO/,,,,
,,,,,,,,
,,$139 ,,,,,,
,,,,,,,,
Pneumatics,,,,,,,,
,"Cylinder prices have extreme fluctuations. Currently the cylinder below I bought for $24 is now $33. However, there is an SC63-125 for $24 that also comes with fittings from TAILONZ",,,,,,,
,TAILONZ PNEUMATIC  SC 50 X 150 with push to connect fittings,$25 ,Larger strokes work just fine and allow for more flexibility. Changing the bore size or the type might change the port sizes. ,https://smile.amazon.com/Tailonz-Pneumatic-Air-Cylinder-Bore/dp/B092H8WJ22?,,,,
,"TAILONZ PNEUMATIC 6mm od 10 Meters PU Air Tubing Kit with push to connect fittings and tube cutter. Larger sizes are below.
8mm for $17
10mm for $19
3/8"" for $24",$14 ,"It doesn’t matter too much what size you get as long as all connectors are the same. I've used the 6mm in this milker with no problems, but prefer 3/8"" for greater airflow on other projects.  I wouldn't recommend going smaller than 6mm OD","https://smile.amazon.com/dp/B07RTB9K9N
https://smile.amazon.com/dp/B09CP858XC/ (3/8"")
https://smile.amazon.com/Tailonz-Pneumatic-Polyurethane-Meter-32-8ft/dp/B0836DJD4J",,,,
,Air Cylinder Mounting Bracket 66x31x45mm SC Standard Pneumatic Parts for 50mm Cylinder Bore,$12 ,This is the LB foot flange bracket,https://smile.amazon.com/dp/B098SR3GLH/,,,,
,One way valves - this price is for (16) of the plastic ones,$7 ,"The check valves are used to control air in / out as well as in the top of the receiver. They can all be the same type if you go with plastic ones.  However, for the solenoids, I like the brass ones to connect directly to the solenoid which reduces joints in the tubes. ",https://smile.amazon.com/gp/product/B07FKJXZ78/,,,,
,"Clevis / Y joint end for cylinder M16-1,5 thread, female",$11 ,This is for 2 (Othmro 2pcs Air Cylinder Clevis M16x1.5 Y Connector),https://smile.amazon.com/gp/product/B07ZYKBMCM/,,,,
For electric valve control,,,,,,,,
,"Beduan 2 Way Normally Closed DC 12V Electric Solenoid Air Valve 1/4"" NPT",$11 ,"Make sure to get the thread that matches the thread from the tubing kit above. This is likely 1/4"" PT or NPT. Also make sure the voltage is correct.",https://smile.amazon.com/gp/product/B07QQS5DCM/,,DO NOT get “internal pilot” solenoids! They require constant positive air pressure to operate. ,,
For manual valve control,,,,,,,,
,"PROLUBE 44838 Grease Gun Air Release Valve, 1/8"" NPT - 2 needed",$6 ,They are $3 each. You could also use a pair of blow guns that have a female 1/4 NPT to avoid buying the female NPT adapters below,https://smile.amazon.com/dp/B01N0ERYTM/,,,,
," 1/8"" Npt Female Thread Push Fittings ",$10 ,The air release valves screw directly into this - make sure the tube size is correct. The priuce is for 5.,https://smile.amazon.com/gp/product/B082F6KKGF,,,,
Update to check valves:,,,,,,,,
,AKB02B-02S,$3 ,"For under $10 shipped, these valves have incredibly low cracking pressure and are the only metal valves I've seen under $20 each that will work",https://naigesi.aliexpress.com/store/1101462943,,,,
,AKB02A-02S,$3 ,,,,,,
,,$80 ,,,,,,
,,,,,,,,
,,,,,,,,
Stand,"A milker only requires the shaft of the motor is inline with the cylinder. 4"" wide 1/8"" or 1/4"" aluminum works fine. I usually make compact machines with 16""  and full size thruster / milker combos with 22"". All listed here are 24"" long. Only the front of the cylinder needs to be mounted. If you plan on moving it around or using a stepper, use 1/4"" thick aluminum.",,,,,,,
Pick one,"4"" wide 1/8"" aluminum flat at least 18"" - check prices as 1/4"" flat can be cheaper than 1/8"" as it is more common.",$10 - $35,You should really try to get this local if possible. The inventory of the clearance section of metals depot to determines what I use. ,https://www.metalsdepot.com/clearance,,,,
